ID,Score,Income,Mother_edu,Father_edu,Mother_Prof,Father_Prof,Type_1,Type_2,Students
322,562.7179487,4.467948718,4.918918919,4.973684211,3.432432432,3.054054054,Private,Private,452
323,547.0138889,4.958333333,4.875,5.277777778,3.666666667,3.5625,Private,Private,241
324,665.5,5.5,7,6,5,4,Private,Private,322
325,550.3958334,6.75,5.818181818,5,4.090909091,3.875,Private,Private,90
326,586.7857143,11.89285714,6.571428571,5.928571429,4.357142857,4.214285714,Private,Private,348
327,604.1572581,12.37096774,5.983333333,6.049180328,4.442622951,4.316666667,Private,Private,254
328,622.5416667,6.208333333,4.833333333,6,3.8,3.666666667,Private,Private,298
329,619.4791667,5.416666667,5.166666667,5.166666667,4.083333333,3.5,Private,Private,71
330,449.775,1.625,3.5,2.125,2,2.1,Private,Private,184
331,448.25,1.25,2,2,1,1,Public,State_City,813
332,512.5833333,1.166666667,3.333333333,4,3,2,Public,State_City,551
333,456.8333333,0.75,4,3.666666667,2.666666667,2,Public,State_City,557
334,441.75,1.25,4,4,3,2,Public,State_City,608
335,455.25,1.75,2,5,3,1,Public,State_City,793
336,465.75,2.25,3,2,3,3,Public,State_City,1195
337,469.5,1.25,2,2,2,2,Public,State_City,302
338,445,1.25,4,4,1,1,Public,State_City,734
339,448,1.25,3,3,1,1,Public,State_City,1022
340,528.75,1.25,2,3,2,2,Public,State_City,676
341,554.0263158,4,4.72972973,5.567567568,3.542857143,3.638888889,Private,Private,205
342,620.8811881,4.764851485,5.173469388,5.2,3.734042553,3.202380952,Private,Private,1721
343,597.9396552,4.392241379,5.017241379,5.379310345,3.50877193,3.375,Private,Private,344
344,620.26875,16.6375,6.475,6.575,4.9,4.578947368,Private,Private,772
345,535.25,0.5,6,5,4,2,Public,State_City,551
346,518.9396552,2.025862069,3.75862069,4.206896552,2.846153846,2.518518519,Public,State_City,158
347,587.0965347,3.445544554,4.587628866,4.752475248,3.288888889,3,Public,State_City,412
348,556.734375,3.145833333,4.111111111,4.70212766,3.170731707,2.76744186,Public,State_City,319
349,550.3625,2.93,4.414893617,5.040816327,3.166666667,3.02173913,Public,State_City,395
